"rgn_id","species_code","year","tonnes"
4,92,2003,339.330302021462
8,92,2003,37.5675724849714
3,92,2003,61.1827037569707
5,92,2003,584.377361456231
11,92,2003,509.733730565404
1,92,2003,163.107498755783
10,92,2003,145.617965451741
10,92,2003,470.53885589776
10,92,2003,560.087496897804
10,92,2003,804.990971709712
10,92,2003,1209.09367897784
7,92,2003,82.6101620162038
2,92,2003,36.0553949184041
6,92,2003,765.775724526868
9,92,2003,13.9305805628512
4,92,2004,298.204689691406
8,92,2004,33.0145177975639
3,92,2004,53.7675800824139
5,92,2004,513.552926743088
11,92,2004,447.955835488234
1,92,2004,143.339456461902
10,92,2004,127.969591699723
10,92,2004,413.511238680552
10,92,2004,492.206906419699
10,92,2004,707.428960788462
10,92,2004,1062.55587314045
7,92,2004,72.5981074564945
2,92,2004,31.6856107140816
6,92,2004,672.96646054116
9,92,2004,12.2422442947739
4,92,2005,290.167301832322
8,92,2005,32.1246911325499
3,92,2005,52.3184046995119
5,92,2005,499.711346777752
11,92,2005,435.882266835492
1,92,2005,139.476087283212
10,92,2005,124.520480139058
10,92,2005,402.366041021839
10,92,2005,478.940656925404
10,92,2005,688.361920137661
10,92,2005,1033.91724346894
7,92,2005,70.6414006452531
2,92,2005,30.831601532923
6,92,2005,654.828273428404
9,92,2005,11.9122841396718
4,92,2006,292.631318548246
8,92,2006,32.3974847086856
3,92,2006,52.7626774446351
5,92,2006,503.954750854716
11,92,2006,439.583652845822
1,92,2006,140.660477834344
10,92,2006,125.577872004371
10,92,2006,405.782816946408
10,92,2006,483.007682317816
10,92,2006,694.207290264184
10,92,2006,1042.69696935364
7,92,2006,71.2412669669476
2,92,2006,31.0934145665629
6,92,2006,660.388885535964
9,92,2006,12.0134398076593
4,92,2007,210.145425629474
8,92,2007,23.2653949932863
3,92,2007,37.8901184055098
5,92,2007,361.901747706815
11,92,2007,315.675349738118
1,92,2007,101.011594146475
10,92,2007,90.180420513163
10,92,2007,291.402175281081
10,92,2007,346.859165609947
10,92,2007,498.526566504873
10,92,2007,748.785193308888
7,92,2007,51.1600277216532
2,92,2007,22.3289115832855
6,92,2007,474.240775459066
9,92,2007,8.62713339836321
4,92,2008,195.654660657257
8,92,2008,21.6611089622026
3,92,2008,35.2773715472851
5,92,2008,336.946490397049
11,92,2008,293.907674867846
1,92,2008,94.0462497148227
10,92,2008,83.9619493052481
10,92,2008,271.308278772308
10,92,2008,322.941182945051
10,92,2008,464.150223141751
10,92,2008,697.152043463189
7,92,2008,47.6322424488312
2,92,2008,20.7892015997368
6,92,2008,441.539080445557
9,92,2008,8.03224173186525
4,92,2009,180.518557973727
8,92,2009,19.9853769945119
3,92,2009,32.5482675415281
5,92,2009,310.879865352839
11,92,2009,271.170589375821
1,92,2009,86.7707077578739
10,92,2009,77.4665421326082
10,92,2009,250.319512378528
10,92,2009,297.958026963095
10,92,2009,428.242949507397
10,92,2009,643.219441600069
7,92,2009,43.9473493298512
2,92,2009,19.1809215359491
6,92,2009,407.381034641973
9,92,2009,7.4108569142277
4,92,2010,203.164044934357
8,92,2010,22.4924798609018
3,92,2010,36.6313456276607
5,92,2010,349.878769488749
11,92,2010,305.188089375518
1,92,2010,97.6558209182702
10,92,2010,87.1844768947749
10,92,2010,281.72131016147
10,92,2010,335.335926998115
10,92,2010,481.964684479725
10,92,2010,723.909303302255
7,92,2010,49.4604064768523
2,92,2010,21.5871079879726
6,92,2010,458.485707820979
9,92,2010,8.34052567239861
4,92,2011,198.294678567175
8,92,2011,21.9533877937765
3,92,2011,35.7533780599172
5,92,2011,341.492994765225
11,92,2011,297.873445593199
1,92,2011,95.3152395910347
10,92,2011,85.0948691609411
10,92,2011,274.96911012006
10,92,2011,327.298710151206
10,92,2011,470.413119705883
10,92,2011,706.55889262536
7,92,2011,48.2749563649324
2,92,2011,21.069715564351
6,92,2011,447.496879132229
9,92,2011,8.14062280470901
4,92,2012,236.193602340665
8,92,2012,26.1492127981492
3,92,2012,42.5867159968126
5,92,2012,406.760590806152
11,92,2012,354.804287561604
1,92,2012,113.532294258434
10,92,2012,101.358563089334
10,92,2012,327.522377912237
10,92,2012,389.853434044011
10,92,2012,560.320479270971
10,92,2012,841.599438375651
7,92,2012,57.5014716938514
2,92,2012,25.0966493674784
6,92,2012,533.02438916756
9,92,2012,9.6964933170883
4,93,2003,0
8,93,2003,0
3,93,2003,0
5,93,2003,0
11,93,2003,0
1,93,2003,0
10,93,2003,0
10,93,2003,0
10,93,2003,0
10,93,2003,0
10,93,2003,0
7,93,2003,0
2,93,2003,0
6,93,2003,0
9,93,2003,0
4,93,2004,0
8,93,2004,0
3,93,2004,0
5,93,2004,0
11,93,2004,0
1,93,2004,0
10,93,2004,0
10,93,2004,0
10,93,2004,0
10,93,2004,0
10,93,2004,0
7,93,2004,0
2,93,2004,0
6,93,2004,0
9,93,2004,0
4,93,2005,0
8,93,2005,0
3,93,2005,0
5,93,2005,0
11,93,2005,0
1,93,2005,0
10,93,2005,0
10,93,2005,0
10,93,2005,0
10,93,2005,0
10,93,2005,0
7,93,2005,0
2,93,2005,0
6,93,2005,0
9,93,2005,0
4,93,2006,0
8,93,2006,0
3,93,2006,0
5,93,2006,0
11,93,2006,0
1,93,2006,0
10,93,2006,0
10,93,2006,0
10,93,2006,0
10,93,2006,0
10,93,2006,0
7,93,2006,0
2,93,2006,0
6,93,2006,0
9,93,2006,0
4,93,2007,0
8,93,2007,0
3,93,2007,0
5,93,2007,0
11,93,2007,0
1,93,2007,0
10,93,2007,0
10,93,2007,0
10,93,2007,0
10,93,2007,0
10,93,2007,0
7,93,2007,0
2,93,2007,0
6,93,2007,0
9,93,2007,0
4,93,2008,0
8,93,2008,0
3,93,2008,0
5,93,2008,0
11,93,2008,0
1,93,2008,0
10,93,2008,0
10,93,2008,0
10,93,2008,0
10,93,2008,0
10,93,2008,0
7,93,2008,0
2,93,2008,0
6,93,2008,0
9,93,2008,0
4,93,2009,0
8,93,2009,0
3,93,2009,0
5,93,2009,0
11,93,2009,0
1,93,2009,0
10,93,2009,0
10,93,2009,0
10,93,2009,0
10,93,2009,0
10,93,2009,0
7,93,2009,0
2,93,2009,0
6,93,2009,0
9,93,2009,0
4,93,2010,0
8,93,2010,0
3,93,2010,0
5,93,2010,0
11,93,2010,0
1,93,2010,0
10,93,2010,0
10,93,2010,0
10,93,2010,0
10,93,2010,0
10,93,2010,0
7,93,2010,0
2,93,2010,0
6,93,2010,0
9,93,2010,0
4,93,2011,0
8,93,2011,0
3,93,2011,0
5,93,2011,0
11,93,2011,0
1,93,2011,0
10,93,2011,0
10,93,2011,0
10,93,2011,0
10,93,2011,0
10,93,2011,0
7,93,2011,0
2,93,2011,0
6,93,2011,0
9,93,2011,0
4,93,2012,0
8,93,2012,0
3,93,2012,0
5,93,2012,0
11,93,2012,0
1,93,2012,0
10,93,2012,0
10,93,2012,0
10,93,2012,0
10,93,2012,0
10,93,2012,0
7,93,2012,0
2,93,2012,0
6,93,2012,0
9,93,2012,0
4,94,2003,0
8,94,2003,0
3,94,2003,0
5,94,2003,0
11,94,2003,0
1,94,2003,0
10,94,2003,0
10,94,2003,0
10,94,2003,0
10,94,2003,0
10,94,2003,0
7,94,2003,0
2,94,2003,0
6,94,2003,0
9,94,2003,0
4,94,2004,0
8,94,2004,0
3,94,2004,0
5,94,2004,0
11,94,2004,0
1,94,2004,0
10,94,2004,0
10,94,2004,0
10,94,2004,0
10,94,2004,0
10,94,2004,0
7,94,2004,0
2,94,2004,0
6,94,2004,0
9,94,2004,0
4,94,2005,0
8,94,2005,0
3,94,2005,0
5,94,2005,0
11,94,2005,0
1,94,2005,0
10,94,2005,0
10,94,2005,0
10,94,2005,0
10,94,2005,0
10,94,2005,0
7,94,2005,0
2,94,2005,0
6,94,2005,0
9,94,2005,0
4,94,2006,0
8,94,2006,0
3,94,2006,0
5,94,2006,0
11,94,2006,0
1,94,2006,0
10,94,2006,0
10,94,2006,0
10,94,2006,0
10,94,2006,0
10,94,2006,0
7,94,2006,0
2,94,2006,0
6,94,2006,0
9,94,2006,0
4,94,2007,0
8,94,2007,0
3,94,2007,0
5,94,2007,0
11,94,2007,0
1,94,2007,0
10,94,2007,0
10,94,2007,0
10,94,2007,0
10,94,2007,0
10,94,2007,0
7,94,2007,0
2,94,2007,0
6,94,2007,0
9,94,2007,0
4,94,2008,0
8,94,2008,0
3,94,2008,0
5,94,2008,0
11,94,2008,0
1,94,2008,0
10,94,2008,0
10,94,2008,0
10,94,2008,0
10,94,2008,0
10,94,2008,0
7,94,2008,0
2,94,2008,0
6,94,2008,0
9,94,2008,0
4,94,2009,0
8,94,2009,0
3,94,2009,0
5,94,2009,0
11,94,2009,0
1,94,2009,0
10,94,2009,0
10,94,2009,0
10,94,2009,0
10,94,2009,0
10,94,2009,0
7,94,2009,0
2,94,2009,0
6,94,2009,0
9,94,2009,0
4,94,2010,0
8,94,2010,0
3,94,2010,0
5,94,2010,0
11,94,2010,0
